uso_dados_gb,minutos_voz,chamadas_suporte,num_produtos,tempo_contrato_meses,tipo_plano,metodo_pagamento,mensalidade_reais,atraso_pagamento_dias,tem_desconto,idade,regiao,tem_dependentes,nps_score,churn
25.63,81,10,4,11,1,0,148.65,0,1,57,0,0,-1,0
8.74,800,1,4,61,1,2,141.9,0,0,46,3,0,-1,0
36.61,800,2,2,41,2,0,94.77,0,0,62,3,1,9,0
42.63,136,1,1,59,1,0,91.08,0,1,74,2,1,-1,0
4.22,750,2,2,43,1,1,125.28,1,1,51,0,0,4,0
7.09,109,0,1,33,2,0,92.6,0,0,31,3,0,10,0
22.25,152,0,2,64,2,0,110.66,0,0,58,1,0,-1,0
15.6,246,4,2,41,2,0,91.54,1,1,47,1,1,10,0
19.82,132,2,3,53,2,3,128.72,2,1,30,3,0,-1,0
10.15,373,4,3,69,2,3,123.21,0,0,74,4,0,0,0
40.59,542,4,3,29,0,0,104.5,1,0,74,1,1,0,0
37.42,90,0,1,45,0,2,61.09,0,0,18,1,0,-1,0
21.18,265,0,2,66,2,1,101.93,0,0,51,2,0,2,0
49.49,122,4,2,62,1,0,109.73,0,0,21,1,1,-1,0
29.2,296,6,4,18,1,0,147.45,0,0,52,0,1,0,0
10.1,301,0,4,63,1,0,153.15,0,0,20,1,0,1,0
26.98,156,0,3,23,2,3,110.83,0,0,74,1,0,-1,0
9.33,218,1,4,35,2,0,126.92,0,0,47,4,0,3,0
40.56,263,1,3,22,1,0,128.98,3,0,29,3,0,-1,0
19.3,151,7,2,21,0,0,75.73,0,1,50,3,0,10,1
17.32,75,1,4,50,1,2,141.11,0,0,50,2,0,-1,0
11.65,421,1,4,6,2,2,135.48,1,1,43,3,0,2,0
53.41,419,0,3,66,1,1,116.13,0,0,37,0,0,7,0
17.75,405,0,1,53,0,2,59.41,1,0,56,1,0,-1,0
14.26,122,2,4,67,3,1,262.15,0,0,42,1,0,8,0
15.15,207,4,3,68,1,1,113.69,0,0,57,0,0,2,0
30.75,78,4,2,45,1,0,118.19,3,1,74,4,0,1,0
26.91,800,2,1,38,1,1,110.82,2,0,71,3,1,-1,0
27.94,96,4,2,71,3,3,239.19,0,0,72,3,1,2,0
28.35,587,1,1,34,1,0,80.28,0,0,67,3,0,9,0
111.42,142,0,4,9,3,0,261.34,1,0,46,2,0,8,0
14.51,302,1,4,45,1,1,148.78,0,0,31,4,1,-1,1
13.33,204,4,3,3,1,3,118.37,0,0,40,1,1,10,0
10.47,186,4,1,37,1,1,95.08,1,0,71,1,0,10,0
32.88,325,2,2,4,3,3,232.92,2,0,62,2,0,3,0
49.56,166,6,2,64,2,1,75.4,0,0,53,3,1,6,0
18.34,79,1,2,34,2,0,105.82,0,0,30,3,0,6,0
10.26,217,3,1,17,3,0,205.11,1,0,70,3,0,10,0
10.39,533,1,3,41,2,2,110.11,0,0,68,3,0,5,0
33.8,247,2,2,4,2,2,94.84,2,0,30,2,1,-1,1
36.4,126,0,3,48,3,1,235.06,0,0,44,3,1,9,0
31.02,800,0,2,28,0,0,73.4,0,0,22,3,1,10,1
11.79,246,2,4,12,2,0,133.23,0,0,31,3,0,3,0
24.18,134,1,4,46,2,2,131.13,0,0,70,0,0,10,0
22.05,800,2,4,70,3,0,246.57,0,0,35,4,0,-1,0
23.93,72,4,4,68,2,3,129.79,0,0,47,1,1,-1,0
40.33,127,1,3,27,2,0,125.59,1,0,18,1,1,-1,0
24.02,500,2,1,54,2,1,76.61,0,0,42,3,0,6,0
34.57,125,5,1,6,1,0,81.34,0,0,33,1,0,10,0
21.2,408,10,2,27,2,3,101.97,0,0,30,3,0,7,0
25.31,446,1,2,20,1,3,103.61,0,0,23,3,0,-1,0
33.28,800,0,1,18,1,3,84.4,0,0,57,4,0,-1,0
6.26,514,5,4,3,1,2,144.22,0,0,54,3,0,-1,0
15.55,177,6,1,4,2,1,73.15,0,1,22,4,1,6,0
13.79,146,2,4,5,3,0,259.59,0,0,57,4,1,-1,0
12.05,116,5,3,31,1,3,111.47,1,0,57,1,0,-1,0
16.12,111,2,1,48,0,1,55.36,1,0,39,3,1,-1,0
66.42,322,2,4,61,0,3,91.89,0,0,28,1,1,1,0
10.05,70,2,1,36,1,3,85.62,0,1,53,3,1,10,0
43.58,273,4,2,22,1,1,120.05,0,0,60,3,0,2,0
5.23,63,0,3,26,2,3,96.91,2,0,27,3,1,8,0
15.36,292,1,1,67,1,3,98.3,1,0,24,1,0,-1,0
22.88,166,1,1,47,1,2,108.12,1,0,67,3,1,5,0
32.1,381,2,4,6,2,2,143.21,0,1,58,0,1,10,0
35.48,36,2,2,45,2,2,92.45,0,0,64,4,1,3,0
37.89,474,2,2,13,2,2,100.8,0,0,21,3,1,6,0
15.2,246,0,1,38,2,2,89.67,0,0,68,3,0,4,0
13.88,176,4,1,5,1,2,79.54,1,0,58,2,0,-1,0
39.9,352,0,1,58,1,1,105.53,0,0,70,3,0,10,0
17.24,334,2,1,38,1,1,76.87,0,1,72,3,1,-1,0
7.24,93,1,3,32,2,2,129.33,0,1,19,3,1,1,0
8.11,273,1,4,36,2,0,125.6,0,1,41,0,0,-1,0
9.63,408,0,4,63,1,2,156.88,1,0,65,3,0,7,0
29.9,80,1,4,43,2,2,137.65,0,0,74,3,0,2,0
22.51,282,0,3,31,2,2,132.37,0,0,55,4,0,9,0
34.9,568,2,2,40,2,3,104.55,1,0,57,1,0,3,0
14.27,275,0,2,54,2,2,92.82,0,1,30,0,0,6,0
22.8,176,3,2,49,0,2,53.37,1,0,50,4,0,2,0
33.13,93,1,2,22,3,1,226.73,0,0,19,1,0,2,1
15.68,113,1,4,71,0,1,97.65,1,1,61,4,0,8,0
28.95,184,0,2,31,1,0,81.64,1,0,39,3,0,8,0
11.83,421,3,4,30,2,3,129.74,2,1,62,0,0,-1,0
15.02,370,2,1,52,1,3,97.18,0,0,48,2,0,-1,1
14.8,184,8,4,5,0,3,92.9,3,0,48,2,1,-1,0
7.72,137,2,2,32,1,1,94.39,1,1,55,1,0,9,0
29.65,159,0,2,32,1,2,115.99,0,0,39,3,0,7,0
13.8,549,1,4,42,1,3,149.33,0,0,55,3,0,-1,0
20.29,84,0,1,5,1,1,74.92,1,0,21,1,0,2,1
29.51,247,4,3,50,2,2,108.15,0,0,58,1,1,5,0
28.71,167,1,2,35,1,3,115.97,0,0,64,1,1,-1,0
34.2,381,3,1,46,2,1,85.89,0,0,42,0,0,10,0
18.56,205,2,3,67,2,0,114.1,0,0,28,3,1,-1,0
14.32,98,2,3,71,1,3,144.23,0,0,30,3,1,6,0
18.84,717,1,2,67,0,0,86.16,0,0,30,4,0,-1,0
5.21,276,1,2,21,2,1,110.0,3,0,53,4,1,3,0
6.31,265,0,4,62,0,2,95.96,0,0,32,4,1,-1,0
6.97,89,2,4,25,1,1,109.48,0,0,74,3,1,-1,0
9.04,188,1,2,61,2,1,114.13,3,0,52,3,0,7,0
27.66,141,1,1,63,2,2,99.79,0,1,18,0,1,6,0
9.73,221,3,1,56,1,3,106.95,0,0,48,1,1,10,0
14.84,63,1,1,55,2,0,84.5,0,0,27,0,0,6,0
56.79,258,1,4,34,2,1,126.43,1,1,21,3,1,-1,0
15.1,422,6,2,7,1,0,109.86,1,0,68,4,1,-1,0
36.23,160,0,3,11,1,0,115.18,0,1,36,3,0,4,0
9.52,285,0,1,25,1,2,73.84,0,0,39,3,0,4,0
17.04,114,0,1,52,0,1,53.15,0,0,36,3,0,2,0
9.39,766,1,1,34,2,1,89.96,0,0,66,1,0,6,0
15.31,115,0,1,58,0,0,47.22,1,0,28,0,0,10,0
39.34,206,1,1,11,2,3,70.64,4,0,70,3,0,8,0
5.04,134,1,1,65,1,1,92.36,0,0,46,4,0,-1,0
28.43,122,2,3,21,3,0,248.92,1,0,33,4,0,-1,0
24.29,718,2,1,11,0,2,60.73,0,1,71,4,0,10,0
12.49,666,1,1,25,1,0,91.08,0,0,74,1,0,1,1
6.32,168,2,4,71,3,3,261.02,0,0,59,4,0,-1,0
21.28,800,1,4,15,1,0,127.96,1,1,63,4,0,7,0
13.15,520,1,1,64,3,0,230.88,0,0,19,1,0,-1,0
24.19,490,0,2,27,3,0,231.3,0,0,36,3,0,1,0
20.44,242,3,1,6,2,1,86.39,3,0,43,1,0,5,0
72.34,555,0,1,49,3,3,208.39,0,0,54,3,1,2,0
16.59,263,3,3,1,2,2,121.79,0,1,52,3,1,9,0
8.86,121,2,1,12,2,1,88.39,0,0,40,4,0,9,0
23.18,237,0,4,51,3,2,260.08,0,0,58,1,0,9,0
23.95,177,4,2,21,2,0,84.53,1,0,47,3,1,10,0
59.58,101,0,2,31,1,1,107.26,1,0,43,3,1,10,0
39.18,491,0,2,68,2,0,98.68,0,1,61,1,1,-1,0
26.72,273,2,2,39,1,0,111.82,0,0,58,1,1,9,0
64.76,230,0,2,30,2,2,99.07,1,0,43,1,0,10,0
7.76,800,0,4,2,1,2,138.79,0,0,55,1,0,-1,0
12.04,273,1,3,58,0,1,77.04,0,1,40,4,0,-1,0
9.57,578,5,4,16,1,2,143.12,1,0,34,4,1,-1,0
14.7,116,2,2,46,2,3,99.19,0,1,37,3,1,5,0
6.68,140,1,2,30,2,1,108.7,0,0,38,1,0,-1,0
33.39,244,1,3,13,1,0,142.45,0,0,68,1,0,7,0
16.81,261,2,1,48,2,0,77.21,0,0,58,1,1,9,0
6.19,301,1,1,63,1,1,89.1,0,0,21,3,0,-1,0
8.91,493,5,3,36,1,1,116.03,0,0,31,4,0,-1,0
25.81,800,2,1,40,2,1,91.27,2,1,37,4,0,-1,0
39.27,79,1,4,70,1,2,154.38,1,0,54,3,0,7,0
99.22,159,1,1,27,2,3,74.11,0,0,35,3,0,3,0
200.0,323,1,4,18,0,2,105.03,0,0,63,3,0,-1,0
27.98,800,3,2,47,2,1,93.51,0,0,51,3,1,-1,0
9.1,208,6,2,46,1,3,109.1,0,0,38,2,0,2,0
3.65,240,0,2,50,1,0,104.68,0,1,52,3,1,6,0
24.88,183,0,2,62,0,0,75.81,0,0,61,3,0,10,0
10.48,354,2,2,67,1,1,123.83,0,1,61,3,0,9,0
14.41,239,1,1,61,1,0,108.63,0,1,51,1,0,-1,0
12.31,432,2,4,31,2,0,146.46,0,0,60,3,0,-1,0
17.95,575,0,2,39,2,3,105.34,3,0,18,1,1,-1,0
47.12,187,0,2,47,3,2,224.54,0,0,66,3,0,0,0
22.77,476,0,1,41,1,1,77.59,1,0,57,3,1,-1,0
17.69,144,2,1,30,2,0,88.0,0,0,61,3,0,-1,0
8.77,284,1,3,61,2,0,112.67,0,0,59,1,0,-1,0
