valor_transacao,hora_transacao,dia_semana,qtd_transacoes_24h,tempo_desde_ultima_transacao_min,distancia_localizacao_km,idade_conta_dias,qtd_dispositivos_distintos,score_credito,renda_mensal_estimada,qtd_transacoes_mes,media_valor_transacao_30d,desvio_valor_media,mesmo_destinatario_recente,tipo_chave_pix,tentativas_senha_errada,usa_vpn,transacao_internacional,valor_acumulado_24h,razao_valor_renda,fraude
2133.37,18,5,6,436.63,19.65,860,1,743.0,5049.21,24,1946.06,0.1,1,1,0,0,0,5527.86,0.42,0
25.93,17,5,8,5.32,22.94,586,2,707.0,5303.12,20,32.79,-0.2,1,0,0,0,0,95.64,0.0,0
59.19,10,6,4,368.57,21.44,932,1,575.0,4697.43,32,59.79,-0.01,0,2,0,0,0,75.39,0.01,0
90.19,12,0,3,17.42,,189,2,574.0,2389.58,30,88.72,0.02,1,1,0,1,0,185.84,0.04,0
326.75,13,4,2,24.1,1.71,598,2,653.0,2676.92,24,335.2,-0.03,0,0,0,0,0,441.58,0.12,0
29.63,11,6,2,842.05,2.59,398,3,565.0,4030.92,15,29.08,0.02,0,3,1,0,0,44.28,0.01,0
119.43,12,0,3,96.54,1.68,321,2,717.0,3811.0,28,152.47,-0.22,1,1,0,0,0,256.28,0.03,0
107.7,15,1,7,121.15,15.82,589,1,665.0,1753.9,18,152.36,-0.29,1,0,0,0,0,585.01,0.06,0
204.35,14,2,5,109.66,6.28,570,3,739.0,2170.09,24,306.43,-0.33,1,0,0,0,0,380.79,0.09,0
84.21,14,1,1,106.53,27.68,602,1,850.0,1555.54,22,47.41,0.76,1,1,0,0,1,55.47,0.05,0
739.94,6,3,5,81.84,15.84,331,2,545.0,3992.57,27,623.8,0.19,1,1,0,0,0,2093.46,0.19,0
156.54,11,0,2,2.46,9.24,547,2,673.0,1648.96,24,110.95,0.41,1,3,0,0,0,154.35,0.09,0
21.33,18,2,7,153.47,7.36,668,2,805.0,7450.23,25,25.61,-0.16,1,0,1,0,0,98.89,0.0,0
348.59,16,3,4,193.26,5.6,216,1,711.0,3228.03,20,434.04,-0.2,1,2,0,0,0,422.17,0.11,0
138.76,14,5,2,103.92,,1317,2,520.0,2790.41,26,118.08,0.17,1,3,0,0,0,168.21,0.05,0
30.91,8,5,0,133.85,2.31,264,2,573.0,1500.0,23,23.04,0.33,1,2,0,0,0,0.0,0.02,0
192.35,9,2,7,13.71,15.63,405,1,681.0,1500.0,23,182.26,0.06,1,0,1,0,0,537.72,0.13,0
6435.4,7,5,10,3.67,96.88,95,5,568.0,2929.62,13,2139.9,2.01,0,3,1,0,0,65894.26,2.2,1
145.3,14,4,3,97.98,7.39,981,3,695.0,15810.88,29,75.42,0.91,0,1,0,0,0,278.11,0.01,0
151.89,16,0,3,23.76,20.31,628,1,585.0,6561.72,28,140.29,0.08,1,1,1,0,0,154.18,0.02,0
417.32,20,2,14,0.72,72.08,73,3,470.0,2394.94,10,43.32,8.44,0,3,5,1,1,3271.09,0.17,1
272.05,14,3,3,81.68,24.57,607,1,657.0,2761.99,26,305.47,-0.11,0,0,0,0,0,315.18,0.1,0
239.07,10,1,2,210.02,39.91,611,2,636.0,2209.64,21,259.46,-0.08,1,2,0,0,0,376.6,0.11,0
2632.86,22,4,9,0.62,57.15,78,6,558.0,2445.79,15,886.23,1.97,0,3,0,1,1,15255.35,1.08,1
18.15,10,2,1,72.27,3.34,167,2,768.0,3282.53,26,26.29,-0.3,0,1,0,0,0,6.11,0.01,0
4263.01,2,1,5,,34.72,98,4,560.0,1000.0,15,727.93,4.85,0,3,2,0,0,22115.32,4.26,1
195.25,12,4,1,3.17,1.71,382,3,774.0,4063.32,21,204.73,-0.05,1,3,1,0,0,147.82,0.05,0
448.68,9,1,4,60.91,2.34,796,2,557.0,3292.09,24,670.19,-0.33,1,3,0,0,0,578.24,0.14,0
69.48,9,1,2,112.36,3.0,487,1,723.0,4601.84,29,77.72,-0.1,1,0,0,0,0,68.69,0.02,0
104.14,14,6,4,337.91,,519,2,668.0,5418.44,21,119.69,-0.13,1,0,0,0,0,143.83,0.02,0
183.86,16,0,5,69.79,15.84,777,1,566.0,4506.95,31,135.13,0.36,0,0,0,0,1,695.74,0.04,0
100.93,16,3,6,72.71,1.07,651,1,608.0,3065.19,23,145.5,-0.3,0,2,0,0,0,403.14,0.03,0
409.04,15,5,3,237.94,5.15,678,3,575.0,4419.25,20,468.28,-0.13,1,2,1,1,1,761.16,0.09,0
151.62,11,1,2,74.95,6.59,218,1,619.0,2060.49,21,85.44,0.77,0,2,0,0,0,199.37,0.07,0
96.33,13,1,2,53.11,1.79,510,1,711.0,1500.0,24,84.66,0.14,1,0,1,0,0,92.75,0.06,0
75.28,9,5,2,27.43,10.86,579,1,745.0,4096.33,32,112.29,-0.33,1,0,0,0,0,101.37,0.02,0
571.57,8,2,5,153.55,3.57,430,2,603.0,4374.31,28,626.37,-0.09,0,3,0,0,0,1461.69,0.13,0
270.81,7,1,1,43.85,15.21,860,2,728.0,1986.61,23,188.03,0.44,1,1,0,0,0,109.75,0.14,0
99.89,11,2,4,90.53,3.77,862,2,780.0,3821.14,29,98.12,0.02,0,3,1,0,0,190.46,0.03,0
13.71,9,5,3,56.58,3.18,377,1,804.0,,23,19.28,-0.27,1,2,0,0,0,30.91,0.0,0
158.03,22,0,8,9.55,1.81,709,3,469.0,3553.07,28,205.32,-0.23,0,1,1,0,0,576.24,0.04,0
20.8,9,1,4,33.46,25.21,517,1,686.0,6318.58,24,24.27,-0.14,0,1,0,0,0,46.3,0.0,0
18.39,10,1,3,81.88,8.47,959,1,703.0,3804.33,17,21.95,-0.16,1,2,0,0,0,43.46,0.0,0
9.58,11,6,3,54.89,24.48,714,1,715.0,4455.54,30,9.04,0.05,0,1,0,0,0,20.16,0.0,0
4804.34,10,6,8,,40.27,54,3,508.0,1728.83,9,933.54,4.14,0,2,2,1,0,19703.84,2.78,1
114.0,9,1,3,30.27,,485,1,612.0,2047.97,32,62.23,0.82,0,2,0,0,0,247.43,0.06,0
64.37,13,0,4,32.34,1.71,336,1,634.0,8163.16,32,88.93,-0.27,0,3,0,0,0,107.73,0.01,0
18.1,16,1,2,98.19,2.43,857,3,838.0,2800.52,27,23.56,-0.22,0,1,0,0,0,19.76,0.01,0
644.17,21,3,3,209.77,9.76,493,1,559.0,3430.92,26,483.95,0.33,1,3,0,0,0,1229.39,0.19,0
987.13,10,5,5,59.96,2.09,433,2,,1500.0,29,666.51,0.48,1,3,0,0,0,1982.42,0.66,0
10.55,8,4,6,207.28,0.25,801,3,619.0,5984.5,23,8.55,0.21,1,1,0,0,0,35.76,0.0,0
26.98,8,2,2,263.19,7.25,341,2,696.0,5700.66,25,26.44,0.02,1,3,0,0,0,17.11,0.0,0
177.71,8,0,3,187.17,7.78,523,1,798.0,5262.3,22,189.73,-0.06,0,1,0,0,0,405.51,0.03,0
28.91,8,6,5,210.4,10.3,369,3,662.0,11029.14,33,40.12,-0.27,1,1,0,0,0,63.71,0.0,0
155.12,8,4,6,31.09,0.01,1104,2,706.0,4855.7,13,81.08,0.9,0,3,0,0,0,326.96,0.03,0
541.61,10,5,4,44.82,23.45,654,1,707.0,2807.98,19,758.84,-0.29,1,0,0,0,0,1389.69,0.19,0
70.25,16,3,6,206.14,8.66,745,2,765.0,3246.1,31,57.65,0.21,0,0,0,0,0,143.23,0.02,0
5081.81,2,3,11,17.5,56.41,54,3,651.0,2239.53,6,1276.65,2.98,0,3,5,1,1,49315.28,2.27,1
151.34,11,0,2,206.89,10.99,501,1,661.0,4464.89,28,186.95,-0.19,0,0,0,0,0,200.78,0.03,0
85.51,9,4,4,235.64,21.37,460,1,781.0,1500.0,33,82.5,0.04,0,3,0,0,0,257.97,0.06,0
174.18,11,4,2,,7.04,569,1,739.0,3237.83,19,247.44,-0.29,0,1,0,0,0,201.59,0.05,0
309.92,16,3,3,35.14,0.29,858,2,659.0,4547.09,21,281.87,0.1,1,0,1,0,0,465.2,0.07,0
30.74,10,0,2,113.32,1.89,633,1,748.0,4275.95,32,24.78,0.23,1,0,0,0,0,49.15,0.01,0
111.0,7,1,2,323.1,2.04,871,2,679.0,1500.0,22,103.47,0.07,1,2,0,1,0,161.07,0.07,0
18.65,14,2,1,46.02,4.29,502,3,667.0,7068.49,26,11.25,0.6,1,2,0,0,0,13.34,0.0,0
192.22,10,4,3,335.41,6.65,563,1,714.0,2018.55,21,129.97,0.48,0,3,0,0,0,440.83,0.1,0
75.11,13,0,1,286.37,14.04,514,3,773.0,2174.7,23,102.59,-0.27,0,1,0,0,0,51.8,0.03,0
368.92,21,1,6,18.36,5.0,60,3,459.0,1227.77,11,86.22,3.24,0,0,2,1,0,1657.76,0.3,1
58.19,18,2,2,179.33,20.69,310,1,661.0,2125.09,31,75.29,-0.22,1,1,0,0,0,34.93,0.03,0
29.26,12,4,4,170.19,12.11,269,2,719.0,,26,29.17,0.0,1,0,0,0,0,74.03,0.01,0
115.86,13,2,5,85.23,15.38,196,2,688.0,7911.93,25,148.52,-0.22,1,1,0,0,0,254.18,0.01,0
93.29,10,1,6,22.26,11.4,499,1,569.0,1908.71,28,131.02,-0.29,1,1,0,0,0,192.64,0.05,0
62.99,17,4,6,68.12,5.38,730,1,704.0,10083.99,24,70.44,-0.1,1,1,0,0,0,293.54,0.01,0
165.66,15,4,2,283.29,18.12,553,2,690.0,2640.61,24,113.78,0.45,0,2,0,0,0,178.83,0.06,0
116.47,16,2,2,22.2,4.07,919,1,,3240.03,33,141.36,-0.17,1,1,0,0,0,102.41,0.04,0
223.28,11,1,7,60.18,3.75,512,3,720.0,4903.27,24,281.64,-0.21,0,1,0,0,0,785.05,0.05,0
39.76,7,1,3,31.4,,830,3,837.0,4193.57,26,58.78,-0.32,1,2,0,0,0,88.02,0.01,0
29.65,9,3,2,146.19,3.61,417,1,749.0,4161.21,34,18.48,0.57,0,1,0,0,0,30.47,0.01,0
146.49,11,3,7,1.11,12.38,488,1,596.0,5082.76,30,163.07,-0.1,1,2,1,0,0,436.71,0.03,0
96.73,15,2,4,180.78,23.04,703,2,727.0,2253.16,25,144.7,-0.33,0,2,1,0,0,245.15,0.04,0
11.1,14,0,3,536.55,0.68,524,1,785.0,3618.73,24,12.43,-0.1,1,1,0,0,0,11.51,0.0,0
20.05,11,1,3,120.66,30.79,744,2,815.0,1500.0,22,21.97,-0.08,0,0,0,0,0,20.76,0.01,0
64.73,9,1,6,8.87,16.68,219,1,616.0,4309.01,19,45.62,0.41,0,0,0,0,1,134.32,0.02,0
183.02,7,3,3,44.41,4.72,357,2,652.0,3153.85,26,219.49,-0.17,1,2,0,0,0,253.7,0.06,0
392.93,10,0,4,281.21,,436,1,638.0,8684.35,22,545.83,-0.28,1,0,1,0,0,597.63,0.05,0
158.23,15,2,2,70.8,1.02,882,2,697.0,2094.18,26,210.98,-0.25,1,1,0,0,1,160.47,0.08,0
321.71,22,2,4,16.27,16.08,734,2,617.0,6229.8,18,239.51,0.34,1,3,0,0,0,425.26,0.05,0
161.3,16,1,3,35.55,0.08,1151,1,549.0,3085.36,28,205.94,-0.22,0,3,0,0,0,235.4,0.05,0
326.39,11,2,3,38.09,2.55,659,3,,4830.03,24,206.32,0.58,1,1,0,0,0,334.44,0.07,0
262.33,12,3,6,113.33,7.0,220,1,616.0,4361.53,33,388.24,-0.32,1,0,0,0,0,1207.1,0.06,0
14.63,8,0,3,77.47,0.71,377,1,667.0,2063.31,23,18.89,-0.21,0,2,0,0,0,18.17,0.01,0
15.92,14,3,2,35.9,9.6,338,1,670.0,4319.91,22,9.51,0.61,0,0,0,0,0,13.8,0.0,0
1726.92,23,2,7,30.51,6.71,77,6,339.0,1000.0,11,247.72,5.95,1,3,2,1,1,13385.03,1.73,1
87.3,9,0,3,66.22,13.27,997,1,752.0,2963.95,24,122.73,-0.29,1,3,1,0,0,130.18,0.03,0
25.89,9,0,4,75.01,8.83,562,1,569.0,3361.24,28,28.66,-0.09,0,0,0,0,0,44.93,0.01,0
31.12,8,1,1,54.15,0.86,758,1,772.0,11006.17,28,28.43,0.09,1,0,0,0,0,19.86,0.0,0
621.63,22,0,4,158.22,0.67,388,1,615.0,1886.91,20,792.82,-0.22,0,0,0,0,0,1629.29,0.33,0
364.57,10,1,2,426.24,12.59,327,1,709.0,,26,369.53,-0.01,0,0,0,0,0,388.56,0.24,0
61.98,12,6,7,3.89,7.81,350,2,622.0,4699.06,22,58.52,0.06,1,1,1,0,0,290.09,0.01,0
682.02,10,5,3,24.24,,877,1,636.0,15820.62,19,867.46,-0.21,1,3,0,0,0,1078.87,0.04,0
357.5,22,0,3,172.98,4.86,883,2,732.0,5487.72,31,522.48,-0.32,0,2,0,0,0,355.2,0.07,0
145.15,7,5,7,91.63,16.32,245,2,719.0,1583.03,24,107.11,0.35,0,2,0,0,0,590.7,0.09,0
57.52,12,1,4,525.95,1.77,593,2,590.0,10176.36,26,63.17,-0.09,0,1,0,0,0,136.19,0.01,0
50.02,11,0,2,220.43,9.85,505,1,560.0,3178.77,26,37.83,0.31,0,1,1,0,0,79.95,0.02,0
32.43,14,6,5,89.23,2.27,489,2,706.0,2084.79,27,28.04,0.15,0,2,0,0,0,128.87,0.02,0
26.63,8,0,2,197.1,10.77,584,1,697.0,5650.47,30,14.97,0.73,1,0,0,0,0,32.04,0.0,0
233.27,9,4,4,51.52,21.94,509,1,,3060.84,24,326.85,-0.29,1,0,0,0,0,424.17,0.08,0
995.17,17,1,3,8.98,2.05,1421,2,727.0,2389.7,25,695.66,0.43,1,3,0,0,0,966.03,0.42,0
91.55,14,3,5,49.83,3.02,305,1,683.0,6301.46,25,74.95,0.22,1,2,0,0,0,178.62,0.01,0
208.22,8,3,3,11.32,1.87,399,1,690.0,12964.12,24,287.5,-0.27,1,1,0,0,0,306.13,0.02,0
91.44,20,1,4,146.85,3.54,583,1,760.0,7709.86,30,62.86,0.45,1,1,0,0,0,282.53,0.01,0
15.01,12,6,5,215.32,2.28,704,2,656.0,12430.68,20,10.92,0.34,1,0,1,0,1,23.5,0.0,0
158.72,10,3,7,54.37,,373,1,616.0,3502.47,34,231.37,-0.31,0,2,0,0,0,714.97,0.05,0
22.84,13,3,7,73.8,4.33,930,1,813.0,2364.42,18,20.48,0.11,1,1,0,0,0,86.84,0.01,0
31.53,12,5,1,5.54,3.47,376,3,670.0,3949.99,18,34.63,-0.09,0,0,0,0,1,19.47,0.01,0
144.31,17,3,3,12.38,13.05,899,1,660.0,2566.73,20,115.73,0.24,1,1,0,0,0,184.19,0.06,0
7.52,11,0,4,13.61,7.41,587,1,683.0,1500.0,25,6.62,0.12,1,0,0,0,0,12.11,0.01,0
38.71,8,5,5,22.55,11.85,951,2,681.0,,24,34.86,0.11,0,0,0,0,0,101.68,0.0,0
6.79,18,0,3,178.61,0.05,447,2,619.0,1965.58,22,7.15,-0.04,0,3,1,0,0,11.25,0.0,0
38.64,18,0,3,137.26,9.59,825,1,702.0,3229.42,20,22.81,0.66,1,0,0,0,0,39.36,0.01,0
44.27,9,3,3,395.03,31.41,534,2,586.0,5993.19,23,28.5,0.53,1,2,0,0,0,100.04,0.01,0
835.46,16,6,4,5.9,2.42,526,2,700.0,,32,1182.2,-0.29,1,3,0,0,0,2058.2,0.16,0
65.08,9,3,2,174.26,1.12,966,2,563.0,5509.76,25,95.89,-0.32,0,0,0,0,0,89.22,0.01,0
290.28,7,3,2,53.35,8.21,330,1,622.0,6601.24,27,231.98,0.25,1,2,0,0,0,417.53,0.04,0
48.27,17,3,2,3.94,5.18,272,1,723.0,3345.67,32,67.48,-0.28,0,1,1,0,0,68.94,0.01,0
70.96,20,4,4,27.19,5.83,1108,1,805.0,6804.88,23,91.77,-0.22,1,3,0,0,0,103.48,0.01,0
55.41,11,3,0,143.28,5.27,454,1,697.0,2002.64,23,75.01,-0.26,1,0,0,0,0,0.0,0.03,0
38.95,8,2,0,74.21,6.74,405,1,850.0,5937.5,27,50.29,-0.22,1,0,0,0,0,0.0,0.01,0
148.45,16,1,3,89.49,0.71,484,2,715.0,2662.18,24,186.51,-0.2,1,0,0,0,0,152.45,0.06,0
72.07,12,4,4,,13.02,188,3,602.0,1500.0,27,55.58,0.29,1,1,0,0,0,120.67,0.05,0
165.12,12,5,4,124.8,2.29,734,1,699.0,2076.45,26,184.22,-0.1,0,3,0,0,0,352.0,0.08,0
162.3,6,2,4,34.27,9.58,353,2,615.0,2758.16,27,111.05,0.46,1,1,0,0,0,475.69,0.06,0
124.53,11,1,4,187.15,23.99,237,2,682.0,4327.22,22,99.7,0.25,0,1,0,0,0,183.63,0.03,0
63.96,8,6,4,219.27,4.25,506,2,827.0,3234.96,19,55.15,0.16,0,2,0,0,0,190.84,0.02,0
128.59,11,1,3,41.05,1.6,733,1,634.0,2595.82,22,173.44,-0.26,1,0,0,0,0,242.73,0.05,0
100.0,5,3,12,0.65,11.45,88,3,366.0,1000.0,8,37.21,1.64,0,3,2,0,1,1249.86,0.1,1
128.42,13,2,5,189.59,12.57,686,2,747.0,6856.55,21,139.84,-0.08,1,0,0,0,0,283.46,0.02,0
124.17,14,5,4,229.27,6.42,428,1,577.0,1593.07,21,114.69,0.08,1,2,0,0,0,163.62,0.08,0
38.08,6,5,1,51.63,33.08,485,2,656.0,20171.62,21,55.0,-0.3,0,2,0,0,0,27.31,0.0,0
54.13,11,3,9,250.04,10.85,302,2,667.0,4162.56,22,74.42,-0.27,1,1,0,0,0,351.82,0.01,0
221.92,12,1,3,641.42,2.44,706,1,683.0,3422.5,34,228.14,-0.03,1,2,0,0,0,284.14,0.06,0
34.74,8,2,6,77.89,0.86,213,1,678.0,3498.35,21,35.95,-0.03,1,1,0,0,0,110.01,0.01,0
107.04,6,0,4,34.67,0.51,383,1,637.0,2657.62,26,60.62,0.75,1,1,0,1,1,249.14,0.04,0
25.3,17,3,2,99.3,3.07,594,3,721.0,2771.43,22,33.35,-0.23,1,0,0,0,0,22.4,0.01,0
12.35,10,2,5,379.89,,1149,1,737.0,2272.14,23,14.88,-0.16,1,1,0,0,0,25.85,0.01,0
153.05,12,4,4,40.67,5.36,564,1,724.0,2045.42,31,138.24,0.11,1,1,0,0,0,250.89,0.07,0
21.57,13,5,7,25.86,7.77,684,1,574.0,1500.0,23,17.83,0.2,1,0,0,0,0,46.6,0.01,0
51.35,11,1,3,4.26,11.63,228,2,566.0,5190.67,21,44.64,0.15,0,3,0,0,0,95.21,0.01,0
276.22,6,2,5,57.7,7.71,824,1,479.0,12969.0,31,387.02,-0.29,1,0,0,0,0,516.67,0.02,0
